orderIdentifier,orderType,vendor.organizationIdentifier,buyer.organizationIdentifier,shipFromInstructionLocation.locationIdentifier,shipToLocation.locationIdentifier,orderStatus,createdDate,requestedShipDate,requestedDeliveryDate,plannedShipDate,plannedDeliveryDate,quantity,quantityUnits,totalValue,orderValueCurrency,lineCount,totalShippedQuantity,exclude,sourceLink
100044349,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-20T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,189,EA,236250.00,USD,3,,,http://lighttree.com/100044349
100044350,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,20,EA,25000.00,USD,3,,,http://lighttree.com/100044350
100044353,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-13T00:00:00,2021-07-30T00:00:00,2021-07-23T00:00:00,2021-07-30T00:00:00,212,EA,265000.00,USD,3,,,http://lighttree.com/100044353
100055001,OUTBOUND,LightTree,AHTD,LT-2,AHTD - Bentonville,,2017-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,761,EA,59473.00,USD,3,,,http://lighttree.com/100055001
100055003,OUTBOUND,LightTree,AHTD,LT-2,AHTD - Bentonville,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,520,EA,47438.00,USD,3,,,http://lighttree.com/100055003
100044351,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,68,EA,85000.00,USD,3,,,http://lighttree.com/100044351
100044352,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-08T00:00:00,2021-07-17T00:00:00,74,EA,92500.00,USD,3,,,http://lighttree.com/100044352
100044354,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,208,EA,260000.00,USD,3,,,http://lighttree.com/100044354
100044355,OUTBOUND,LightTree,AHTD,LT-1,AHTD - Bentonville,,2021-06-08T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,2021-06-30T00:00:00,2021-07-07T00:00:00,400,EA,500000.00,USD,3,,,http://lighttree.com/100044355
100044343,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,22,EA,27500.00,USD,3,,,http://lighttree.com/100044343
100044344,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-28T00:00:00,2021-08-03T00:00:00,2021-07-26T00:00:00,2021-08-03T00:00:00,302,EA,377500.00,USD,3,,,http://lighttree.com/100044344
100055000,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,228,EA,20084.00,USD,3,,,http://lighttree.com/100055000
100055002,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,363,EA,29093.00,USD,3,,,http://lighttree.com/100055002
100055005,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,154,EA,14735.00,USD,3,,,http://lighttree.com/100055005
100055007,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,655,EA,49240.00,USD,3,,,http://lighttree.com/100055007
100055009,OUTBOUND,LightTree,CALTRAN,LT-2,CALTRAN - San Diego,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,761,EA,62681.00,USD,3,,,http://lighttree.com/100055009
100044345,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-06-28T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,22,EA,27500.00,USD,3,,,http://lighttree.com/100044345
100044346,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,2021-07-03T00:00:00,2021-07-11T00:00:00,59,EA,73750.00,USD,3,,,http://lighttree.com/100044346
100044347,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,645,EA,806250.00,USD,3,,,http://lighttree.com/100044347
100044348,OUTBOUND,LightTree,CALTRAN,LT-1,CALTRAN - San Diego,,2021-06-11T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,2021-07-11T00:00:00,2021-07-19T00:00:00,54,EA,67500.00,USD,3,,,http://lighttree.com/100044348
100044325,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,2021-08-10T00:00:00,2021-08-18T00:00:00,44,EA,55000.00,USD,3,,,http://lighttree.com/100044325
100044326,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,12,EA,15000.00,USD,3,,,http://lighttree.com/100044326
100044327,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2021-07-11T00:00:00,2021-08-02T00:00:00,2021-08-10T00:00:00,2021-08-02T00:00:00,2021-08-11T00:00:00,12,EA,15000.00,USD,3,,,http://lighttree.com/100044327
100055006,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,259,EA,18536.00,USD,3,,,http://lighttree.com/100055006
100055008,OUTBOUND,LightTree,COLA,LT-2,COLA - Los Alamos,,2017-07-07T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,2021-08-06T00:00:00,2021-08-12T00:00:00,228,EA,19266.00,USD,3,,,http://lighttree.com/100055008
100044323,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-31T00:00:00,2021-09-06T00:00:00,2021-09-03T00:00:00,2021-09-07T00:00:00,250,EA,312500.00,USD,3,,,http://lighttree.com/100044323
100044324,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,2021-08-19T00:00:00,2021-08-22T00:00:00,132,EA,165000.00,USD,3,,,http://lighttree.com/100044324
100055010,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2017-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,488,EA,35137.00,USD,4,,,http://lighttree.com/100055010
100044322,OUTBOUND,LightTree,FAA,LT-2,FAA - Washington,,2021-07-20T00:00:00,2021-08-11T00:00:00,2021-08-14T00:00:00,,,400,EA,500000.00,USD,3,,,http://lighttree.com/100044322
100044335,OUTBOUND,LightTree,KYTC,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-20T00:00:00,2021-07-24T00:00:00,2021-07-20T00:00:00,2021-07-28T00:00:00,320,EA,400000.00,USD,3,,,http://lighttree.com/100044335
100044336,OUTBOUND,LightTree,KYTC,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,75,EA,93750.00,USD,3,,,http://lighttree.com/100044336
100044337,OUTBOUND,LightTree,KYTC,LT-2,KYTC - Lexington,,2021-06-28T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,2021-07-28T00:00:00,2021-08-01T00:00:00,4,EA,5000.00,USD,3,,,http://lighttree.com/100044337
1000567212,INBOUND,Flexilux,LightTree,Flexilux - Worcester,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,134288.00,USD,1,,,http://lighttree.com/1000567212
1000567213,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,168.00,USD,1,,,http://lighttree.com/1000567213
1000567215,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,,44,EA,20020.00,USD,1,,,http://lighttree.com/1000567215
1000567217,INBOUND,EM,LightTree,EM - Hemphill,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-24T00:00:00,,44,EA,836.00,USD,1,,,http://lighttree.com/1000567217
1000567229,INBOUND,Thermal,LightTree,Thermal - Cincinnati,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,124,EA,6820.00,USD,1,,,http://lighttree.com/1000567229
1000567234,INBOUND,Amos,LightTree,Amos - Philadelphia,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,2420.00,USD,1,,,http://lighttree.com/1000567234
1000567240,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-24T00:00:00,,44,EA,220.00,USD,1,,,http://lighttree.com/1000567240
1000567241,INBOUND,Amos,LightTree,Amos - Philadelphia,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,3080.00,USD,1,,,http://lighttree.com/1000567241
1000567244,INBOUND,EM,LightTree,EM - Hemphill,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,1064.00,USD,1,,,http://lighttree.com/1000567244
1000567248,INBOUND,SA,LightTree,SA - Loretto,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,179200.00,USD,1,,,http://lighttree.com/1000567248
1000567251,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,,44,EA,4752.00,USD,1,,,http://lighttree.com/1000567251
1000567254,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,745472.00,USD,1,,,http://lighttree.com/1000567254
1000567255,INBOUND,Ripley,LightTree,Ripley - Trenton,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,17920.00,USD,1,,,http://lighttree.com/1000567255
1000567262,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,2560.00,USD,1,,,http://lighttree.com/1000567262
1000567264,INBOUND,Ripley,LightTree,Ripley - Trenton,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,,44,EA,15400.00,USD,1,,,http://lighttree.com/1000567264
1000567268,INBOUND,EM,LightTree,EM - Hemphill,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,9728.00,USD,1,,,http://lighttree.com/1000567268
1000567286,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,56628.00,USD,1,,,http://lighttree.com/1000567286
1000567287,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,210944.00,USD,1,,,http://lighttree.com/1000567287
1000567294,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-10T00:00:00,2021-07-14T00:00:00,75,EA,34125.00,USD,1,,,http://lighttree.com/1000567294
1000567306,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,1536.00,USD,1,,,http://lighttree.com/1000567306
1000567310,INBOUND,F & M,LightTree,F & M - Columbus,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,2800.00,USD,1,,,http://lighttree.com/1000567310
1000567311,INBOUND,Hardy,LightTree,Hardy - Salina,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,1800.00,USD,1,,,http://lighttree.com/1000567311
1000567313,INBOUND,F & M,LightTree,F & M - Columbus,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,25600.00,USD,1,,,http://lighttree.com/1000567313
1000567318,INBOUND,Interalloy,LightTree,Interalloy - Bozeman,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,280.00,USD,1,,,http://lighttree.com/1000567318
1000567320,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,81536.00,USD,1,,,http://lighttree.com/1000567320
1000567323,INBOUND,R&J,LightTree,R&J - Vancouver,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,58050.00,USD,1,,,http://lighttree.com/1000567323
1000567324,INBOUND,McGrey,LightTree,McGrey - Mt Sterling,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,96750.00,USD,1,,,http://lighttree.com/1000567324
1000567325,INBOUND,Ripley,LightTree,Ripley - Trenton,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,163840.00,USD,1,,,http://lighttree.com/1000567325
1000567326,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,30900.00,USD,1,,,http://lighttree.com/1000567326
1000567332,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,124,EA,13392.00,USD,1,,,http://lighttree.com/1000567332
1000567334,INBOUND,Brewers,LightTree,Brewers - Phoenix,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,96525.00,USD,1,,,http://lighttree.com/1000567334
1000567335,INBOUND,LightLens,LightTree,LightLens - Ipswich ,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-29T00:00:00,2021-07-03T00:00:00,512,EA,97280.00,USD,1,,,http://lighttree.com/1000567335
1000567338,INBOUND,SilverOptics,LightTree,SilverOptics - Dover,LT-1,,2021-06-16T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,512,EA,48640.00,USD,1,,,http://lighttree.com/1000567338
1000567340,INBOUND,Alumi-lux,LightTree,Alumi-lux - Nashua,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-17T00:00:00,2021-07-21T00:00:00,56,EA,25480.00,USD,1,,,http://lighttree.com/1000567340
1000567342,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,23072.00,USD,1,,,http://lighttree.com/1000567342
1000567349,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-06-29T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,2021-07-06T00:00:00,2021-07-10T00:00:00,75,EA,31650.00,USD,1,,,http://lighttree.com/1000567349
1000567350,INBOUND,Flexilux,LightTree,Flexilux - Worcester,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,103356.00,USD,1,,,http://lighttree.com/1000567350
1000567353,INBOUND,Mueller,LightTree,Mueller - Pittsburgh,LT-1,,2021-07-15T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,,44,EA,18568.00,USD,1,,,http://lighttree.com/1000567353
1000567356,INBOUND,Gemini,LightTree,Gemini - Dallas,LT-1,,2021-07-08T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,56,EA,6832.00,USD,1,,,http://lighttree.com/1000567356
